id,osm_id,class,name,points,sqm
d0d6962c-5bb5-459b-a2a0-9316e3e5e30a,r2186646,land,Antarctica,26008,4879.5305669429235
ede685d8-d67e-48ff-8c05-e6e41a3227a0,r60189,maritime,Россия,165513,3232.9562361291364
ac63467c-e698-452a-bce3-0729d2974a7e,r60189,land,Россия,209314,2923.7540096131793
b1409f12-e160-4f5f-b67e-be42fe68245b,r1428125,maritime,Canada,32472,2290.341743344304
8c09baf8-d6f2-40a4-88da-d31cd0907449,r1428125,land,Canada,197948,1696.0600288492453
50a03a2c-3e24-4740-b80d-f933ea60c64f,r148838,maritime,United States,124758,1224.0511042286653
79d2f02b-59b9-4981-8c88-43f07431788b,r148838,land,United States,135996,1117.715829434217
a0f6a6b6-508f-415d-9200-71244807376b,r270056,maritime,中国,139273,984.5353795399918
becb3057-9c92-414f-90c0-99df46a6cfa6,r390840,maritime,ᓄᓇᕗᑦ Nunavut,177570,972.671705731004
1cbed78c-c008-42eb-bfe9-e3828bad5a2e,r270056,land,中国,149290,952.7482800214918
54580391-4d90-4ad3-b445-6376d237d474,r2184073,maritime,Kalaallit Nunaat,1955,785.7301800399193
b6a66c4d-2e2a-477e-a62c-90090e3df927,r80500,maritime,Australia,27575,778.0894803640398
3c7ffd05-0f89-4ff8-b052-1dfe7f5ae3aa,r59470,maritime,Brasil,123183,729.6701297581585
a41062b4-8d7e-4b34-9225-04438af2c6e5,r59470,land,Brasil,128621,710.0833161013041
4420c9c8-f137-4466-9225-6d35a72a445c,r80500,land,Australia,33966,695.553254241194
27a88497-79ab-4bb8-911f-0a0492cac350,r2184073,land,Kalaallit Nunaat,49489,662.9589135839113
d3926f81-2e84-4f44-9b62-9d389a1568c4,r151234,maritime,Республика Саха (Якутия),49633,658.8617642640002
bfa1580e-842f-43c9-9113-85f261021366,r151234,land,Республика Саха (Якутия),60845,612.4778837961883
2c8150be-899d-4412-87af-3754a99bc053,r190090,maritime,Красноярский край,64176,561.1914137394068
aa4d2146-8613-4c6d-89cc-570fdedae900,r390840,land,ᓄᓇᕗᑦ Nunavut,219476,518.9641568060449
6c053311-c760-4f05-99c8-7e506321e6ef,r190090,land,Красноярский край,73120,492.3002533238488
a056e858-a3cd-4d33-9ee1-2955b47eeef2,r304751,maritime,Indonesia,24837,429.0212611617644
cb981a1e-4ddc-46a9-8ba3-bb2eb307b12c,r1116270,maritime,Alaska,42253,351.97106302102173
415aa232-cd98-477d-993c-7fec66e702a6,r391220,maritime,Northwest Territories,24921,344.30871367285033
64751f03-0c0c-4da6-abb1-8496ce6d248c,r214665,maritime,Қазақстан,61403,332.9976937953009
781cc805-c6ff-4419-a02d-15ec076ca94a,r214665,land,Қазақстан,61992,330.15275586274936
71dfa038-ed8d-49a7-977b-4b4b5f757be5,r304716,maritime,India,128526,303.87690498917874
69f65e11-e917-47c4-a8e5-82cc97f56375,r1165292,maritime,Таймырский Долгано-Ненецкий район,24067,300.8834201498747
c8c16ddf-62b6-4fa8-882a-05e12dfa4bb0,r286393,maritime,Argentina,198161,294.9545679797457
d4532322-0808-4d95-9516-af840ae84f27,r1116270,land,Alaska,37708,279.69054288240324
3685318b-dc78-4002-adc2-505362c8c8e7,r304716,land,India,122611,278.4924702309895
6aaadea0-9c48-4af0-a47f-bbe020540580,r286393,land,Argentina,196597,278.2447186208356
7eb99624-5a39-49b6-a881-4156f4cfed1c,r391220,land,Northwest Territories,36682,271.90273041939565
3c111b44-7d39-488b-8d3f-3d277a5bc56a,r2316598,maritime,Western Australia,18350,237.9812448612737
2e5d2504-9cf2-4515-8746-85e333d3439e,r1165292,land,Таймырский Долгано-Ненецкий район,33011,231.9922597343127
9b612b97-e05c-44f3-9665-3c61fb50c3fe,r2316598,land,Western Australia,14547,227.6002673151266
1cf2171c-c486-45d9-b3dd-d3240b93b215,r61549,maritime,Québec,174621,222.98655677628045
75ce7a4b-b029-4fa5-bf45-2cb0504b723c,r192756,maritime,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,12109,215.64076525344797
d2ce5979-31c4-4dc7-9252-0b4a9f09b190,r192756,land,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,12336,212.80160744502817
9f2cc9de-fcc0-47ba-9453-d9d74519babc,r61549,land,Québec,123848,204.47184264474149
0831989a-c65b-47db-802e-f930af64b9e4,r114686,maritime,México,75637,200.23816082364124
bf54125d-0156-453d-b773-7636743e6548,r192795,maritime,République démocratique du Congo,77752,190.118308695047
471674d7-f665-4aed-a433-16449668bc25,r192795,land,République démocratique du Congo,77739,190.07214290466345
a5ae4ea6-04a2-4a23-86ad-3c73f5291171,r161033,land,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,19170,184.68558910459825
09eac6b6-6595-4d93-8e60-45261dc2bc4f,r307584,maritime,السعودية,1789,182.04744271922763
